,median,max,mean
precision,0.8148148148148148,0.711864406779661,0.64576802507837
recall,0.8081632653061225,0.8571428571428571,0.8408163265306122
thresholds,0.3074189539692888,0.2930327024410244,0.24960273912564718
roc_auc,0.9797174254317111,0.9736542822257107,0.9633281004709576
f_score,0.8114754098360656,0.7777777777777777,0.7304964539007094
