,roc_auc,log_loss,F-Score,Precision,Recall,TPR,FPR
DESICIONTREE,0.7930517087787496,0.5479359176403373,0.7350701817993474,0.6677331325868072,0.8175115207373271,0.8111751152073733,0.39387755102040817
LOGREG,0.7840347790421852,0.5779604008230663,0.7303229695112764,0.6474307596402173,0.8375576036866359,0.837442396313364,0.44886621315192743
ADA_BOOST,0.7945722371129712,0.6869766413646275,0.7377658142664872,0.6924709449216776,0.7894009216589861,0.7892857142857143,0.3450113378684807
